"http://www.votesmart.org/issue_rating_detail.php?r_id=3681&rtype=R",,,,,
"AK","U.S. Senate","Sr","Ted Stevens","Republican",100
"AK","U.S. Senate","Jr","Lisa Murkowski","Republican",100
"AK","U.S. House","At-Large","Donald Young","Republican",100
"AL","U.S. Senate","Sr","Richard Shelby","Republican",100
"AL","U.S. Senate","Jr","Jefferson Sessions","Republican",100
"AL","U.S. House",1,"Josiah Bonner","Republican",93
"AL","U.S. House",2,"Terry Everett","Republican",100
"AL","U.S. House",3,"Michael Rogers","Republican",100
"AL","U.S. House",4,"Robert Aderholt","Republican",100
"AL","U.S. House",5,"Robert Cramer","Democratic",73
"AL","U.S. House",6,"Spencer Bachus","Republican",100
"AL","U.S. House",7,"Artur Davis","Democratic",43
"AR","U.S. Senate","Sr","Blanche Lincoln","Democratic",50
"AR","U.S. Senate","Jr","Mark Pryor","Democratic",60
"AR","U.S. House",1,"Robert Berry","Democratic",75
"AR","U.S. House",2,"Victor Snyder","Democratic",6
"AR","U.S. House",3,"John Boozman","Republican",100
"AR","U.S. House",4,"Mike Ross","Democratic",66
"AZ","U.S. Senate","Sr","John McCain","Republican",40
"AZ","U.S. Senate","Jr","Jon Kyl","Republican",100
"AZ","U.S. House",1,"Richard Renzi","Republican",100
"AZ","U.S. House",2,"Trent Franks","Republican",100
"AZ","U.S. House",3,"John Shadegg","Republican",100
"AZ","U.S. House",4,"Ed Pastor","Democratic",6
"AZ","U.S. House",6,"Jeff Flake","Republican",92
"AZ","U.S. House",7,"Raúl Grijalva","Democratic",0
"CA","U.S. Senate","Sr","Dianne Feinstein","Democratic",0
"CA","U.S. Senate","Jr","Barbara Boxer","Democratic",10
"CA","U.S. House",1,"Michael Thompson","Democratic",0
"CA","U.S. House",2,"Walter Herger","Republican",100
"CA","U.S. House",3,"Daniel Lungren","Republican",100
"CA","U.S. House",4,"John Doolittle","Republican",100
"CA","U.S. House",5,"Doris Matsui","Democratic",0
"CA","U.S. House",6,"Lynn Woolsey","Democratic",6
"CA","U.S. House",7,"George Miller","Democratic",0
"CA","U.S. House",8,"Nancy Pelosi","Democratic",0
